Date,Day of the Week,Location,Time Group,Vehicle Count,Weather Conditions,Road Type,Congestion Level
1/1/2024,Monday,Farmgate,Early Morning (5:00 AM – 7:30 AM),110,Sunny,Entry Point,Low
1/1/2024,Monday,Farmgate,Morning Rush (7:30 AM – 10:30 AM),282,Cloudy,Flyover,High
1/1/2024,Monday,Farmgate,Midday (10:30 AM – 2:00 PM),298,Rainy,Highway,Medium
1/1/2024,Monday,Farmgate,Afternoon (2:00 PM – 4:30 PM),476,Cloudy,Residential Street,Medium
1/1/2024,Monday,Farmgate,Evening Rush (4:30 PM – 8:00 PM),238,Rainy,Flyover,Medium
1/1/2024,Monday,Farmgate,Night (8:00 PM – 11:00 PM),163,Rainy,Commercial Street,Medium
1/1/2024,Monday,Farmgate,Late Night (11:00 PM – 5:00 AM),418,Sunny,Arterial Road,Low
1/1/2024,Monday,Mohakhali,Early Morning (5:00 AM – 7:30 AM),468,Rainy,Arterial Road,High
1/1/2024,Monday,Mohakhali,Morning Rush (7:30 AM – 10:30 AM),439,Rainy,Highway,Low
1/1/2024,Monday,Mohakhali,Midday (10:30 AM – 2:00 PM),382,Sunny,Highway,High
1/1/2024,Monday,Mohakhali,Afternoon (2:00 PM – 4:30 PM),192,Sunny,Commercial Street,Low
1/1/2024,Monday,Mohakhali,Evening Rush (4:30 PM – 8:00 PM),191,Sunny,Commercial Street,Low
1/1/2024,Monday,Mohakhali,Night (8:00 PM – 11:00 PM),253,Sunny,Entry Point,Medium
1/1/2024,Monday,Mohakhali,Late Night (11:00 PM – 5:00 AM),487,Cloudy,Residential Street,High
1/1/2024,Monday,Gulshan-2,Early Morning (5:00 AM – 7:30 AM),445,Sunny,Entry Point,High
1/1/2024,Monday,Gulshan-2,Morning Rush (7:30 AM – 10:30 AM),220,Sunny,Residential Street,High
1/1/2024,Monday,Gulshan-2,Midday (10:30 AM – 2:00 PM),293,Sunny,Flyover,High
1/1/2024,Monday,Gulshan-2,Afternoon (2:00 PM – 4:30 PM),161,Sunny,Arterial Road,Medium
1/1/2024,Monday,Gulshan-2,Evening Rush (4:30 PM – 8:00 PM),189,Sunny,Flyover,Medium
1/1/2024,Monday,Gulshan-2,Night (8:00 PM – 11:00 PM),394,Rainy,Commercial Street,Medium
1/1/2024,Monday,Gulshan-2,Late Night (11:00 PM – 5:00 AM),363,Cloudy,Commercial Street,Low
1/1/2024,Monday,Jatrabari,Early Morning (5:00 AM – 7:30 AM),252,Sunny,Residential Street,Low
1/1/2024,Monday,Jatrabari,Morning Rush (7:30 AM – 10:30 AM),284,Sunny,Flyover,Low
1/1/2024,Monday,Jatrabari,Midday (10:30 AM – 2:00 PM),493,Rainy,Residential Street,High
1/1/2024,Monday,Jatrabari,Afternoon (2:00 PM – 4:30 PM),229,Rainy,Flyover,Medium
1/1/2024,Monday,Jatrabari,Evening Rush (4:30 PM – 8:00 PM),459,Rainy,Arterial Road,Medium
1/1/2024,Monday,Jatrabari,Night (8:00 PM – 11:00 PM),467,Rainy,Residential Street,Medium
1/1/2024,Monday,Jatrabari,Late Night (11:00 PM – 5:00 AM),377,Cloudy,Flyover,Low
1/1/2024,Monday,Uttara Sector 7,Early Morning (5:00 AM – 7:30 AM),237,Rainy,Flyover,Low
